DUT,w_slot,w_slotWG,SlabT,PS_length,TWEdes,Z0,termination,w_OXOP,Slot WG dop,slabDOP,ContDop,s2s_type,X,Y
1,0.2,0.2,0.05,1500,PCH_v4_70,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,100,2000
2,0.2,0.2,0.05,1500,PCH_v4_70+,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,400,2000
3,0.2,0.2,0.05,1500,PCH_v4_70-,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,700,2000
4,0.2,0.2,0.05,1500,PCH_v4_70,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,1000,2000
5,0.2,0.2,0.05,1500,PCH_v4_84,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,1300,2000
6,0.2,0.2,0.05,1500,PCH_v4_84+,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,1600,2000
7,0.2,0.2,0.05,1500,PCH_v4_84-,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,1900,2000
8,0.2,0.2,0.05,1500,PCH_v4_84,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,2200,2000
9,0.2,0.2,0.05,1500,PCH_v4_95,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,2500,2000
10,0.2,0.2,0.05,1500,PCH_v4_95+,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,2800,2000
11,0.2,0.2,0.05,1500,PCH_v4_95-,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,3100,2000
12,0.2,0.2,0.05,1500,PCH_v4_95,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,3400,2000
13,0.2,0.2,0.05,1500,PCH_v4_95,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,3700,2000
14,0.2,0.2,0.05,1500,PCH_v4_95+,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,4000,2000
15,0.2,0.2,0.05,1500,PCH_v4_95-,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,4300,2000
16,0.2,0.2,0.05,1500,PCH_v4_95,70,0,5,NLD,Rail_1.0_NW,Rail_2.0_NP,power,4600,2000
